genpv18,genpv22,genpv25,genpv33
828.2759073895153,474.94701436249346,374.61785009346414,350.2400883227766
951.1546025565168,380.71055630482834,356.46959891299986,369.87436682327416
781.4429300001489,474.38532507241854,463.4973688696457,350.21314660475804
877.5696018334686,445.0775603831182,430.56933784864543,433.8604727099728
950.3772520901305,337.45421957519886,379.9160329821222,442.6087851509265
426.0676954711074,342.98074122569926,451.560135655697,494.7364797934542
651.4253504161313,349.9717889423607,430.5018679414155,473.8482631862551
967.9202346580875,456.54164369292477,422.7450534500693,410.1646506805146
784.9640045564784,383.43266250774576,366.17197408385,332.3795314752165
785.2158756691641,460.63652842701396,397.49175629485876,467.60278330742887
646.0738888549685,326.48713444180004,443.7028245438024,450.16043571132263
543.6350954372291,385.93198313590113,364.7472937892078,395.80395701607046
912.0272703878062,449.5115854308151,453.4120184504235,344.44964278489056
684.184186786315,402.05305821080157,362.8717217632689,473.97399055675703
844.2583741285559,392.8752786024021,302.9711234723041,449.8887822366128
698.7357447670806,365.71460334229147,380.95496075567314,375.8884857108738
602.4812103532373,465.66895484198636,346.4812278785874,360.7750446207291
817.4569635661022,382.8400629906215,389.1004778705365,397.4330153598307
658.2168809556468,427.37564891869056,361.81393983614464,357.24208795828434
819.9075482922565,296.590788497686,273.14154083639545,372.4876582114624
728.3611946876993,473.6726982800167,302.8479605605941,420.85354583492165
759.4087049637178,359.382480637852,442.89053561148353,312.66566282113666
852.4594967245174,390.815929635389,429.0151888765347,489.5571585850355
879.5234362700874,321.03286212171344,353.56244678866744,433.57058130601223
640.9633054661837,353.0837077652251,361.1296896901812,450.0809246069579
943.3297837567497,415.0237619645666,446.7649640918849,487.14839875152904
845.6142359180476,366.083870147188,432.38758057104644,453.8667602022992
588.9656247532869,366.2234188937389,463.44394008496363,356.14678578959735
500.46105249271125,287.5138018113468,390.64064039039727,382.37825754472726
777.936709772997,345.7671513567339,412.27909788226754,404.3737031414522
986.1032975587286,402.2116927738183,479.313519125946,431.0904204752784
709.4252536906702,419.1223502634204,406.4376769594124,420.6763825460241
770.8296480279871,429.86388812810435,430.53373022024414,380.22560567316157
977.8907788024915,474.66019449759494,308.8541980415885,315.81717838956655
659.3203880591545,372.8379829452165,385.0510935447344,414.4156256699873
877.8961159486823,387.46130577624956,257.27532302905325,352.27219733832067
719.0873419651658,381.090727471725,380.5086791767192,398.6849456335832
836.9739345970738,379.10520469426956,333.70915391476234,408.9864890670926
917.8131048884633,452.39998770620457,426.77336521925184,436.81129246302663
867.3767074379947,313.00372003586017,301.0974317419682,384.9257421216779
796.2879708598067,385.24385355384175,362.8158446038544,317.6819082646224
891.7831110795664,338.4333196992498,459.2972900287974,346.8689230060755
558.5087110572701,376.1305498839617,442.89052935810184,410.73285292650405
905.0436970333405,343.9627428909417,325.5078094953829,312.4675380172797
811.3295159160361,207.25516315934482,335.5710670529076,366.3364967687584
894.2252544071466,438.90232804815827,409.1719314989547,415.4343505800374
865.102781784648,352.4060103684446,261.6656898713817,419.68722648720166
800.9779349255483,435.54481573541716,361.31674109067984,415.137216167077
917.4058306400216,297.2847532287011,300.15097915073017,346.43841635369006
945.253254606169,350.8163425376387,380.9586885942603,267.9981191814408
472.4683196635179,460.0880917836248,272.95643598976255,431.4687014482174
